Kyle Krstulich
2023-03-30
CSCI151
output.txt


2022 Drafts

Team                    Draft round         Draft rank          Name                Position            Touchdowns          College             Games played        
JAX                     1                    1                    Travon Walker        DE                   0                    Georgia              15                   
JAX                     1                    27                   Devin Lloyd          LB                   0                    Utah                 17                   
JAX                     3                    65                   Luke Fortner         G                    0                    Kentucky             17                   
JAX                     3                    70                   Chad Muma            LB                   0                    Wyoming              16                   
JAX                     5                    154                  Snoop Conner         RB                   1                    Mississippi          8                    
JAX                     6                    197                  Gregory Junior       CB                   0                    Ouachita Baptist     1                    
JAX                     7                    222                  Montaric Brown       DB                   0                    Arkansas             8                    
DET                     1                    2                    Aidan Hutchinson     DE                   0                    Michigan             17                   
DET                     1                    12                   Jameson Williams     WR                   1                    Alabama              6                    
DET                     2                    46                   Josh Paschal         DE                   0                    Kentucky             10                   
DET                     3                    97                   Kerby Joseph         DB                   0                    Illinois             17                   
DET                     5                    177                  James Mitchell       TE                   1                    Virginia Tech        14                   
DET                     6                    188                  Malcolm Rodriguez    LB                   0                    Oklahoma St.         16                   
DET                     6                    217                  James Houston        LB                   0                    Jackson St.          7                    
DET                     7                    237                  Chase Lucas          DB                   0                    Arizona St.          6                    
HOU                     1                    3                    Derek Stingley Jr.   CB                   0                    LSU                  9                    
HOU                     1                    15                   Kenyon Green         OL                   0                    Texas A&M            15                   
HOU                     2                    37                   Jalen Pitre          SAF                  0                    Baylor               17                   
HOU                     2                    44                   John Metchie         WR                   0                    Alabama              0                    
HOU                     3                    75                   Christian Harris     LB                   0                    Alabama              12                   
HOU                     4                    107                  Dameon Pierce        RB                   5                    Florida              13                   
HOU                     5                    150                  Thomas Booker        DE                   0                    Stanford             10                   
HOU                     5                    170                  Teagan Quitoriano    TE                   2                    Oregon St.           9                    
HOU                     6                    205                  Austin Deculus       T                    0                    LSU                  5                    
NYJ                     1                    4                    Sauce Gardner        CB                   0                    Cincinnati           17                   
NYJ                     1                    10                   Garrett Wilson       WR                   4                    Ohio St.             17                   
NYJ                     1                    26                   Jermaine Johnson II  LB                   0                    Florida St.          14                   
NYJ                     2                    36                   Breece Hall          RB                   5                    Iowa St.             7                    
NYJ                     3                    101                  Jeremy Ruckert       TE                   0                    Ohio St.             9                    
NYJ                     4                    111                  Max Mitchell         T                    0                    Louisiana            6                    
NYJ                     4                    117                  Micheal Clemons      DT                   0                    Texas A&M            16                   
NYG                     1                    5                    Kayvon Thibodeaux    DE                   0                    Oregon               14                   
NYG                     1                    7                    Evan Neal            OL                   0                    Alabama              13                   
NYG                     2                    43                   Wan'Dale Robinson    WR                   1                    Kentucky             6                    
NYG                     3                    67                   Joshua Ezeudu        OL                   0                    North Carolina       10                   
NYG                     3                    81                   Cordale Flott        CB                   0                    LSU                  11                   
NYG                     4                    112                  Daniel Bellinger     TE                   3                    San Diego St.        12                   
NYG                     4                    114                  Dane Belton          DB                   0                    Iowa                 15                   
NYG                     5                    146                  Micah McFadden       LB                   0                    Indiana              17                   
NYG                     5                    147                  D.J. Davidson        DT                   0                    Arizona St.          5                    
NYG                     5                    173                  Marcus McKethan      OL                   0                    North Carolina       0                    
